cityName,stateName,cityCode,locationType,aliasCityName,weightage
Ramasamudram,Andhra Pradesh,MMTCC41917,CITY,,5000
Loej,Gujarat,MMTCC41918,CITY,,5000
Jaijaipur,Chhattisgarh,MMTCC41919,CITY,,5000
Gudamalani,Rajasthan,MMTCC41920,CITY,,1209
Janakpur (Chhattisgarh),Chhattisgarh,MMTCC48697,CITY,,5000
Andharia (West Bengal),West Bengal,MMTCC49615,CITY,,5000
Terdal,Karnataka,MMTCC41923,CITY,,1115
Dehgam,Gujarat,MMTCC41924,CITY,,5000
Divad,Maharashtra,MMTCC41925,CITY,,5000
Serndamangalam,Tamil Nadu,MMTCC41926,CITY,,5000
"Mandal,gujarat",Gujarat,MMTCC41927,CITY,,5000
Kambhamvaripalle,Andhra Pradesh,MMTCC41928,CITY,,5000
Gudhagorji,Rajasthan,MMTCC41929,CITY,,5000
Amraudha,Uttar Pradesh,MMTCC41930,CITY,,5000
Marhaura,Bihar,MMTCC41931,CITY,,5000
Taroda (Parbhani),Maharashtra,MMTCC48537,CITY,,5000
Rangapuram,Andhra Pradesh,MMTCC41934,CITY,,2967
Pachpipla,Gujarat,MMTCC41935,CITY,,5000
Nandrampur,Haryana,MMTCC41936,CITY,,5000
Bharuch Bypass,Gujarat,MMTCC50175,CITY,,5000
Mushari,Bihar,MMTCC41938,CITY,,5000
Kuhi,Maharashtra,MMTCC41939,CITY,,5000
Kundal,Maharashtra,MMTCC41940,CITY,,5000
Pipra kothi,Bihar,MMTCC41941,CITY,,5000
Bhader,Gujarat,MMTCC41942,CITY,,2213
Toda Bhim,Rajasthan,MMTCC41943,CITY,,5000
Revuru,Andhra Pradesh,MMTCC41944,CITY,,5000
Matrikundya,Rajasthan,MMTCC41945,CITY,,5000
Pipar,Rajasthan,MMTCC41946,CITY,,5000
Sardharpur(Gujarat),Gujarat,MMTCC41947,CITY,,5000
Jakhanian,Uttar Pradesh,MMTCC41948,CITY,,5000
Saidpur,Bihar,MMTCC41949,CITY,,5000
Bundala,Punjab,MMTCC41950,CITY,,5000
Vijarkhi,Gujarat,MMTCC41951,CITY,,5000
Pakaur (jharkhand),Jharkhand,MMTCC49371,CITY,,5000
Noorsarai,Bihar,MMTCC41953,CITY,,5000
Thondamanadu,Andhra Pradesh,MMTCC41954,CITY,,5000
Saravanampatti,Tamil Nadu,MMTCC41955,CITY,,5000
Joginder Nagar,Himachal Pradesh,MMTCC50320,CITY,,1473
Jakhala,Haryana,MMTCC41957,CITY,,5000
Kavinmoola,Kerala,MMTCC41958,CITY,,5000
Lakhanpura (Rajasthan),Rajasthan,MMTCC48643,CITY,,5000
Mugkuchi,Assam,MMTCC41960,CITY,,5000
Jalakandapuram,Tamil Nadu,MMTCC41961,CITY,,5000
Shripatdhamangaon,Maharashtra,MMTCC41962,CITY,,5000
Kangal,Himachal Pradesh,MMTCC41963,CITY,,5000
Atghara,West Bengal,MMTCC41964,CITY,,5000
Obra,Bihar,MMTCC41965,CITY,,5000
Deghat,Uttarakhand,MMTCC41966,CITY,,5000
Pyapili,Andhra Pradesh,MMTCC41967,CITY,,5000
Elora,West Bengal,MMTCC41968,CITY,,5000
Velachha,Gujarat,MMTCC41970,CITY,,5000
Gurur,Chhattisgarh,MMTCC41971,CITY,,5000
Yerraballi,Andhra Pradesh,MMTCC41972,CITY,,5000
Nihari,Himachal Pradesh,MMTCC41973,CITY,,5000
Kheroda,Rajasthan,MMTCC41974,CITY,,5000
Lalgudi,Tamil Nadu,MMTCC41975,CITY,,5000
Bijapur (Chhattisgarh),Chhattisgarh,MMTCC41976,CITY,,2075
Edugurallapalli,Andhra Pradesh,MMTCC41977,CITY,,5000
Pydibimavaram,Andhra Pradesh,MMTCC41978,CITY,,5000
Annasamudram Peta,Andhra Pradesh,MMTCC41979,CITY,,5000
Deganga,West Bengal,MMTCC41980,CITY,,5000
Taljhari,Jharkhand,MMTCC41981,CITY,,5000
Chodayapalem,Tamil Nadu,MMTCC41982,CITY,,5000
Mylavaram,Andhra Pradesh,MMTCC41983,CITY,,2213
Haathkhamba,Tamil Nadu,MMTCC41984,CITY,,5000
Salekasa,Maharashtra,MMTCC41985,CITY,,5000
Sillod Bypass,Maharashtra,MMTCC41986,CITY,,5000
Amadagur,Andhra Pradesh,MMTCC41987,CITY,,5000
Kulipirai,Tamil Nadu,MMTCC41988,CITY,,1826
Mandir Hasaud,Chhattisgarh,MMTCC41989,CITY,,5000
Sinsini,West Bengal,MMTCC41990,CITY,,5000
Mehnajpur,Uttar Pradesh,MMTCC41991,CITY,,5000
Butteyagudem,Andhra Pradesh,MMTCC41992,CITY,,5000
Purwamir,Uttar Pradesh,MMTCC41993,CITY,,5000
Kudumallige,Karnataka,MMTCC41994,CITY,,5000
Khangaon,Bihar,MMTCC41995,CITY,,5000
Swargate,Maharashtra,MMTCC41996,CITY,,5000
Bhatli,Odisha,MMTCC41997,CITY,,5000
Junagarh,Odisha,MMTCC41998,CITY,,702
Veeraghattam,Andhra Pradesh,MMTCC41999,CITY,,5000
Birbhanpur,Uttar Pradesh,MMTCC42000,CITY,,5000
Barbigha,Bihar,MMTCC42001,CITY,,5000
Pusesavali,Maharashtra,MMTCC42002,CITY,,5000
Dalbari,Assam,MMTCC42003,CITY,,5000
Ramshehar,Himachal Pradesh,MMTCC42004,CITY,,5000
Balijan,Arunachal Pradesh,MMTCC42005,CITY,,5000
Tira,Himachal Pradesh,MMTCC42006,CITY,,5000
Ghargaon (Ahmednagar),Maharashtra,MMTCC50228,CITY,,5000
Bitragunta,Andhra Pradesh,MMTCC42008,CITY,,5000
Babanagar,Karnataka,MMTCC42010,CITY,,5000
Goli Bandha,Assam,MMTCC42011,CITY,,5000
Litipara,Jharkhand,MMTCC42012,CITY,,5000
Rudrapur (Uttar Pradesh),Uttar Pradesh,MMTCC49079,CITY,,5000
Fatehpur (bihar),Bihar,MMTCC48589,CITY,,5000
Somala,Andhra Pradesh,MMTCC42015,CITY,,5000
Mandola,Haryana,MMTCC42016,CITY,,5000
Jaargo,West Bengal,MMTCC42017,CITY,,5000
Klyanpur,Bihar,MMTCC42018,CITY,,5000
Mandalapalli,Telangana,MMTCC42019,CITY,,2380
Jani,Assam,MMTCC42020,CITY,,5000
Tali,Arunachal Pradesh,MMTCC42021,CITY,,5000
Tandulwadi (Solapur),Maharashtra,MMTCC49881,CITY,,5000
Habra,West Bengal,MMTCC42023,CITY,,1792
Bausi,Bihar,MMTCC42024,CITY,,5000
Kalipur,Assam,MMTCC42025,CITY,,5000
Sarambhada,Gujarat,MMTCC42026,CITY,,5000
Triveniganj,Bihar,MMTCC42027,CITY,,5000
Kasya (uttar Pradesh),Uttar Pradesh,MMTCC42028,CITY,,2967
Saja,Chhattisgarh,MMTCC42029,CITY,,5000
Akhnoor,Jammu and Kashmir,MMTCC42030,CITY,,5000
Rampar Vekra,Gujarat,MMTCC42031,CITY,,2646
Vaggampalle,Andhra Pradesh,MMTCC42032,CITY,,5000
Bhalwani (Maharashtra),Maharashtra,MMTCC49222,CITY,,5000
Gajsinghpura,Rajasthan,MMTCC42034,CITY,,5000
Nadod,Gujarat,MMTCC42035,CITY,,5000
Sainwala,Himachal Pradesh,MMTCC42036,CITY,,5000
Gohana,Haryana,MMTCC42037,CITY,,5000
Tulas,Maharashtra,MMTCC42038,CITY,,5000
Latvan (Ratnagiri),Maharashtra,MMTCC48998,CITY,,5000
Garag,Karnataka,MMTCC48878,CITY,,5000
Reasi,Jammu and Kashmir,MMTCC42041,CITY,,5000
Thuvakudi BHEL,Tamil Nadu,MMTCC42042,CITY,,5000
Muthukur,Andhra Pradesh,MMTCC42043,CITY,,5000
Paburia,Odisha,MMTCC42044,CITY,,5000
Pusapatirega,Andhra Pradesh,MMTCC42045,CITY,,5000
Sathu,Jammu and Kashmir,MMTCC42046,CITY,,5000
Ajnala,Punjab,MMTCC42047,CITY,,5000
Jondhi,Haryana,MMTCC42048,CITY,,5000
Amas,Bihar,MMTCC42049,CITY,,5000
Gulabganj (rajasthan),Rajasthan,MMTCC42050,CITY,,5000
